timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume,market_cap
2019-07-15,XRP,Cryptocurrency,0.30366,0.32376,0.29474,0.31287,0.31287,160631099.6,
2019-07-16,XRP,Cryptocurrency,0.31287,0.32032,0.286,0.29543,0.29543,162767430.3,
2019-07-17,XRP,Cryptocurrency,0.29545,0.32365,0.29264,0.31032,0.31032,159617507.6,
2019-07-18,XRP,Cryptocurrency,0.31032,0.327,0.30257,0.32035,0.32035,129902403.6,
2019-07-19,XRP,Cryptocurrency,0.32035,0.32215,0.30959,0.3188,0.3188,68682413.2,
2019-07-20,XRP,Cryptocurrency,0.3187,0.34094,0.31818,0.33279,0.33279,84000903.4,
2019-07-21,XRP,Cryptocurrency,0.33269,0.33501,0.32053,0.33075,0.33075,64040258.2,
2019-07-22,XRP,Cryptocurrency,0.33059,0.33259,0.3157,0.32111,0.32111,64393272.5,
2019-07-23,XRP,Cryptocurrency,0.32135,0.32135,0.30572,0.30891,0.30891,63905860.1,
2019-07-24,XRP,Cryptocurrency,0.30877,0.31905,0.30251,0.31548,0.31548,67739907.8,
2019-07-25,XRP,Cryptocurrency,0.31547,0.323,0.31117,0.31335,0.31335,54892791.7,
2019-07-26,XRP,Cryptocurrency,0.31332,0.32514,0.307,0.32303,0.32303,55029583.8,
2019-07-27,XRP,Cryptocurrency,0.32303,0.32621,0.3054,0.30965,0.30965,64056737.5,
2019-07-28,XRP,Cryptocurrency,0.30966,0.31478,0.3,0.31218,0.31218,42792457.7,
2019-07-29,XRP,Cryptocurrency,0.31217,0.31478,0.306,0.31004,0.31004,39176999.0,
2019-07-30,XRP,Cryptocurrency,0.31004,0.32213,0.30665,0.31823,0.31823,52340164.1,
2019-07-31,XRP,Cryptocurrency,0.31811,0.32348,0.3151,0.31959,0.31959,48948448.5,
2019-08-01,XRP,Cryptocurrency,0.3195,0.3199,0.3114,0.31575,0.31575,46026847.5,
2019-08-02,XRP,Cryptocurrency,0.31554,0.31785,0.30836,0.31178,0.31178,43108296.3,
2019-08-03,XRP,Cryptocurrency,0.3117,0.31747,0.31091,0.31596,0.31596,39924755.2,
2019-08-04,XRP,Cryptocurrency,0.31595,0.32298,0.31181,0.31813,0.31813,52990179.1,
2019-08-05,XRP,Cryptocurrency,0.31823,0.331,0.31798,0.32242,0.32242,86161482.0,
2019-08-06,XRP,Cryptocurrency,0.32232,0.32421,0.308,0.3116,0.3116,73359257.9,
2019-08-07,XRP,Cryptocurrency,0.3116,0.31688,0.30694,0.31109,0.31109,60660819.0,
2019-08-08,XRP,Cryptocurrency,0.31093,0.31204,0.30452,0.30825,0.30825,57294619.1,
2019-08-09,XRP,Cryptocurrency,0.30823,0.30921,0.2901,0.29649,0.29649,57778056.4,
2019-08-10,XRP,Cryptocurrency,0.2965,0.30562,0.29237,0.29918,0.29918,58253124.0,
2019-08-11,XRP,Cryptocurrency,0.29907,0.30605,0.29501,0.30316,0.30316,36131805.2,
2019-08-12,XRP,Cryptocurrency,0.30316,0.30536,0.298,0.3006,0.3006,26440605.7,
